UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:17 ?        00:00:02 /sbin/init
root           2       0  0 18:17 ?        00:00:00 [kthreadd]
root           3       2  0 18:17 ?        00:00:00 [rcu_gp]
root           4       2  0 18:17 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:17 ?        00:00:00 [netns]
root           7       2  0 18:17 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 18:17 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 18:17 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 18:17 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 18:17 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 18:17 ?        00:00:02 [rcu_sched]
root          14       2  0 18:17 ?        00:00:00 [migration/0]
root          15       2  0 18:17 ?        00:00:00 [idle_inject/0]
root          16       2  0 18:17 ?        00:00:00 [kworker/0:1-events]
root          17       2  0 18:17 ?        00:00:00 [cpuhp/0]
root          18       2  0 18:17 ?        00:00:00 [cpuhp/1]
root          19       2  0 18:17 ?        00:00:00 [idle_inject/1]
root          20       2  0 18:17 ?        00:00:00 [migration/1]
root          21       2  0 18:17 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 18:17 ?        00:00:00 [kworker/1:0H-events_highpri]
root          24       2  0 18:17 ?        00:00:00 [cpuhp/2]
root          25       2  0 18:17 ?        00:00:00 [idle_inject/2]
root          26       2  0 18:17 ?        00:00:00 [migration/2]
root          27       2  0 18:17 ?        00:00:00 [ksoftirqd/2]
root          29       2  0 18:17 ?        00:00:00 [kworker/2:0H-events_highpri]
root          30       2  0 18:17 ?        00:00:00 [cpuhp/3]
root          31       2  0 18:17 ?        00:00:00 [idle_inject/3]
root          32       2  0 18:17 ?        00:00:00 [migration/3]
root          33       2  0 18:17 ?        00:00:00 [ksoftirqd/3]
root          35       2  0 18:17 ?        00:00:00 [kworker/3:0H-events_highpri]
root          36       2  0 18:17 ?        00:00:00 [cpuhp/4]
root          37       2  0 18:17 ?        00:00:00 [idle_inject/4]
root          38       2  0 18:17 ?        00:00:00 [migration/4]
root          39       2  0 18:17 ?        00:00:00 [ksoftirqd/4]
root          41       2  0 18:17 ?        00:00:00 [kworker/4:0H-events_highpri]
root          42       2  0 18:17 ?        00:00:00 [cpuhp/5]
root          43       2  0 18:17 ?        00:00:00 [idle_inject/5]
root          44       2  0 18:17 ?        00:00:00 [migration/5]
root          45       2  0 18:17 ?        00:00:00 [ksoftirqd/5]
root          46       2  0 18:17 ?        00:00:00 [kworker/5:0-events]
root          47       2  0 18:17 ?        00:00:00 [kworker/5:0H-events_highpri]
root          48       2  0 18:17 ?        00:00:00 [cpuhp/6]
root          49       2  0 18:17 ?        00:00:00 [idle_inject/6]
root          50       2  0 18:17 ?        00:00:00 [migration/6]
root          51       2  0 18:17 ?        00:00:00 [ksoftirqd/6]
root          52       2  0 18:17 ?        00:00:00 [kworker/6:0-events]
root          53       2  0 18:17 ?        00:00:00 [kworker/6:0H-events_highpri]
root          54       2  0 18:17 ?        00:00:00 [cpuhp/7]
root          55       2  0 18:17 ?        00:00:00 [idle_inject/7]
root          56       2  0 18:17 ?        00:00:00 [migration/7]
root          57       2  0 18:17 ?        00:00:00 [ksoftirqd/7]
root          59       2  0 18:17 ?        00:00:00 [kworker/7:0H-events_highpri]
root          60       2  0 18:17 ?        00:00:00 [kdevtmpfs]
root          61       2  0 18:17 ?        00:00:00 [inet_frag_wq]
root          67       2  0 18:17 ?        00:00:00 [kworker/1:1-events]
root          68       2  0 18:17 ?        00:00:00 [kworker/7:1-mm_percpu_wq]
root          69       2  0 18:17 ?        00:00:00 [kauditd]
root          70       2  0 18:17 ?        00:00:00 [khungtaskd]
root          71       2  0 18:17 ?        00:00:00 [oom_reaper]
root          72       2  0 18:17 ?        00:00:00 [writeback]
root          73       2  0 18:17 ?        00:00:00 [kcompactd0]
root          74       2  0 18:17 ?        00:00:00 [ksmd]
root          75       2  0 18:17 ?        00:00:00 [khugepaged]
root         121       2  0 18:17 ?        00:00:00 [kintegrityd]
root         122       2  0 18:17 ?        00:00:00 [kblockd]
root         123       2  0 18:17 ?        00:00:00 [blkcg_punt_bio]
root         124       2  0 18:17 ?        00:00:00 [tpm_dev_wq]
root         125       2  0 18:17 ?        00:00:00 [ata_sff]
root         126       2  0 18:17 ?        00:00:00 [md]
root         127       2  0 18:17 ?        00:00:00 [edac-poller]
root         128       2  0 18:17 ?        00:00:00 [devfreq_wq]
root         129       2  0 18:17 ?        00:00:00 [watchdogd]
